umkm_name,umkm_category,total_seller_gain,total_project_value,total_revenue
CV. Kreasi Jaya Mandiri,Kecil,0,41140735,0
Koperasi Pegawai Wilayah Mandiri,Kecil,0,57254500,0
TEKNOLOGI SISTEM NUSANTARA,Kecil,0,73266522,0
SOMAWI SURYA SEMESTA,Kecil,0,26277375,0
KOPERASI KARYAWAN PROSPERA SIGNA,Kecil,102691660,1138858037,665650
KOPERASI EKA CITRA,Kecil,0,1858200,0
DEVI ANGGRAENI,Kecil,0,102000,0
PT. CAHAYA GUNTUR BERLIAN,Kecil,0,110000,0
NATA RAHAYU,Kecil,0,130353000,0
PT. BHINNEKA SEJATI INDONESIA,Kecil,0,6772918,0
PT. TRINITI JAVA PERSADA,Kecil,68219900,648155140,440377
PT FAJARAGUNG INDOCEMERLANG,Kecil,2433578,386903681,-1024
